,Name,Album,Artist
0,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X
1,Shivers,Shivers,Ed Sheeran
2,Leave The Door Open,Leave The Door Open,Bruno Mars
3,Light Switch,Light Switch,Charlie Puth
4,Buss It (Intro),In My Feelings,RealMuzikSK
5,My Universe,My Universe,Coldplay
6,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat
7,Overpass Graffiti,Overpass Graffiti,Ella Jayne
8,Woman,Planet Her,Doja Cat
9,Peru,Peru,Fireboy DML
10,Butter,Butter,BTS
11,UP,UP,INNA
12,MONEY,LALISA,LISA
13,Don't Go Yet,Don't Go Yet,Camila Cabello
14,Permission to Dance,Permission to Dance,BTS
15,Sweet Dreams - Radio Killer Remix,Sweet Dreams (Radio Killer Remix),Andra
16,Skate,Skate,Bruno Mars
17,I AM WOMAN,I AM WOMAN,Emmy Meli
18,Anyone For You (Tiger Lily),Anyone For You (Tiger Lily),George Ezra
19,Give Me Your Forever,Episode,Zack Tabudlo
20,Higher Power,Higher Power,Coldplay
21,Someday,Human (Deluxe),OneRepublic
22,Angel Baby,Angel Baby,Troye Sivan
23,It's OK - Live Maple House Sessions,It's OK (Live Maple House Sessions),Nightbirde
24,Run,Run,OneRepublic
25,Hold On,Hold On,Justin Bieber
26,Follow You,Follow You / Cutthroat,Imagine Dragons
27,Come With Me,Pacifico,Surfaces
28,On The Ground,R,ROSÉ
29,HIT IT (feat. Saweetie & Lele Pons),HIT IT (feat. Saweetie & Lele Pons),Black Eyed Peas
30,24/7,CECE,Celina Sharma
31,I GUESS I'M IN LOVE,I GUESS I'M IN LOVE,Clinton Kane
32,Rumors (feat. Cardi B),Rumors (feat. Cardi B),Lizzo
33,Summer of Love (Shawn Mendes & Tainy),Summer Of Love,Shawn Mendes
34,Girl From Rio,Girl From Rio,Anitta
35,In Another Life,In Another Life,JJD
36,Electric - Pokemon 25 Version,Electric,Katy Perry
37,Boyz (feat. Nicki Minaj),Boyz (feat. Nicki Minaj),Jesy Nelson
38,Dynamite,Dynamite,Sean Paul
39,BED,BED,Joel Corry
40,Holiday,Holiday,KSI
41,Manila,Manila,Ray Dalton
42,Message In A Bottle (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift
43,Off My Face,Justice,Justin Bieber
44,A.O.K,MAMA,Adrian Eagle
45,I Feel Good,I Feel Good,Pitbull
46,Can I Get It,30,Adele
47,Baby,Champagne Problems #DQH1,INNA
48,A Second to Midnight,A Second to Midnight,Kylie Minogue
49,Follow Me,Follow Me,Sam Feldt
50,I Don't Wanna Talk (I Just Wanna Dance),I Don't Wanna Talk (I Just Wanna Dance),Glass Animals
51,Sunshine,Sunshine,OneRepublic
52,Butterflies,Butterflies,MAX
53,Coconuts,Coconuts,Kim Petras
54,Titans (feat. Sia & Labrinth),Music Is The Weapon (Reloaded),Major Lazer
55,Deserve You,Justice,Justin Bieber
56,September,September,James Arthur
57,Seaside,"Diane Warren: The Cave Sessions, Vol. 1",Diane Warren
58,To All The Boys I’ve Loved Before,To All The Boys I’ve Loved Before,Jax
59,Blessed & Free,Blessed & Free,Kane Brown
60,Emily,Emily,James Arthur
61,Golden Nights,Golden Nights,Sophie and the Giants
62,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),Red (Taylor's Version),Taylor Swift
63,Skinny Dipping,Skinny Dipping,Sabrina Carpenter
64,It's Ok,Mercury - Act 1,Imagine Dragons
65,First Times,=,Ed Sheeran
66,Starlight,Starlight,Westlife
67,Between Us,Between Us,Little Mix
68,Missing Piece,Missing Piece,Vance Joy
69,Not Sad Anymore,Not Sad Anymore,Clara Mae
70,No Time For Toxic People,Mercury - Act 1,Imagine Dragons
71,Medicine,Medicine,James Arthur
72,Solar Power,Solar Power,Lorde
73,Waves of Blue,Waves of Blue,Majid Jordan
74,Love (Sweet Love),Love (Sweet Love),Little Mix
75,Mood Ring,Mood Ring,Lorde
76,Sandman,=,Ed Sheeran
77,Home,Home,Klangkarussell
78,Good Day,Scaled And Icy,Twenty One Pilots
79,Habit,Habit,Laurell
